scenario_id,merchant_type,category,expected_resolution,expected_rule,order_id,invoice_id,settlement_id,bank_txn_id,reference_number,invoice_amount,settlement_amount,bank_amount,explanation,likely_reason,exception_category
SCENARIO-ENTE-00024,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00024,INV-ENTE-00024,SET-ENTE-00024,BNK-ENTE-00024,UTRENTE2026080000024,207050.00,207050.00,207050.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00025,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00025,INV-ENTE-00025,SET-ENTE-00025,BNK-ENTE-00025,UTRENTE2026080000025,215400.00,215400.00,215400.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00026,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00026,INV-ENTE-00026,SET-ENTE-00026,BNK-ENTE-00026,UTRENTE2026080000026,223750.00,223750.00,223750.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00027,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00027,INV-ENTE-00027,SET-ENTE-00027,BNK-ENTE-00027,UTRENTE2026080000027,232100.00,232100.00,232100.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00028,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00028,INV-ENTE-00028,SET-ENTE-00028,BNK-ENTE-00028,UTRENTE2026080000028,240450.00,240450.00,240450.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00029,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00029,INV-ENTE-00029,SET-ENTE-00029,BNK-ENTE-00029,UTRENTE2026080000029,248800.00,248800.00,248800.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00030,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00030,INV-ENTE-00030,SET-ENTE-00030,BNK-ENTE-00030,UTRENTE2026080000030,257150.00,257150.00,257150.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00031,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00031,INV-ENTE-00031,SET-ENTE-00031,BNK-ENTE-00031,UTRENTE2026080000031,265500.00,265500.00,265500.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00032,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00032,INV-ENTE-00032,SET-ENTE-00032,BNK-ENTE-00032,UTRENTE2026080000032,273850.00,273850.00,273850.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00033,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00033,INV-ENTE-00033,SET-ENTE-00033,BNK-ENTE-00033,UTRENTE2026080000033,282200.00,282200.00,282200.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00034,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00034,INV-ENTE-00034,SET-ENTE-00034,BNK-ENTE-00034,UTRENTE2026080000034,290550.00,290550.00,290550.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00035,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00035,INV-ENTE-00035,SET-ENTE-00035,BNK-ENTE-00035,UTRENTE2026080000035,298900.00,298900.00,298900.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00036,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00036,INV-ENTE-00036,SET-ENTE-00036,BNK-ENTE-00036,UTRENTE2026080000036,307250.00,307250.00,307250.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00037,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00037,INV-ENTE-00037,SET-ENTE-00037,BNK-ENTE-00037,UTRENTE2026080000037,315600.00,315600.00,315600.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00038,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00038,INV-ENTE-00038,SET-ENTE-00038,BNK-ENTE-00038,UTRENTE2026080000038,323950.00,323950.00,323950.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00039,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00039,INV-ENTE-00039,SET-ENTE-00039,BNK-ENTE-00039,UTRENTE2026080000039,332300.00,332300.00,332300.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00040,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00040,INV-ENTE-00040,SET-ENTE-00040,BNK-ENTE-00040,UTRENTE2026080000040,340650.00,340650.00,340650.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00041,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00041,INV-ENTE-00041,SET-ENTE-00041,BNK-ENTE-00041,UTRENTE2026080000041,349000.00,349000.00,349000.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00042,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00042,INV-ENTE-00042,SET-ENTE-00042,BNK-ENTE-00042,UTRENTE2026080000042,357350.00,357350.00,357350.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00043,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00043,INV-ENTE-00043,SET-ENTE-00043,BNK-ENTE-00043,UTRENTE2026080000043,365700.00,365700.00,365700.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00044,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00044,INV-ENTE-00044,SET-ENTE-00044,BNK-ENTE-00044,UTRENTE2026080000044,374050.00,374050.00,374050.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00045,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00045,INV-ENTE-00045,SET-ENTE-00045,BNK-ENTE-00045,UTRENTE2026080000045,382400.00,382400.00,382400.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00046,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00046,INV-ENTE-00046,SET-ENTE-00046,BNK-ENTE-00046,UTRENTE2026080000046,390750.00,390750.00,390750.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00047,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00047,INV-ENTE-00047,SET-ENTE-00047,BNK-ENTE-00047,UTRENTE2026080000047,399100.00,399100.00,399100.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00048,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00048,INV-ENTE-00048,SET-ENTE-00048,BNK-ENTE-00048,UTRENTE2026080000048,407450.00,407450.00,407450.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00049,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00049,INV-ENTE-00049,SET-ENTE-00049,BNK-ENTE-00049,UTRENTE2026080000049,415800.00,415800.00,415800.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00050,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00050,INV-ENTE-00050,SET-ENTE-00050,BNK-ENTE-00050,UTRENTE2026080000050,424150.00,424150.00,424150.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00051,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00051,INV-ENTE-00051,SET-ENTE-00051,BNK-ENTE-00051,UTRENTE2026080000051,432500.00,432500.00,432500.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00052,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00052,INV-ENTE-00052,SET-ENTE-00052,BNK-ENTE-00052,UTRENTE2026080000052,440850.00,440850.00,440850.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00053,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00053,INV-ENTE-00053,SET-ENTE-00053,BNK-ENTE-00053,UTRENTE2026080000053,449200.00,449200.00,449200.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00054,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00054,INV-ENTE-00054,SET-ENTE-00054,BNK-ENTE-00054,UTRENTE2026080000054,457550.00,457550.00,457550.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00055,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00055,INV-ENTE-00055,SET-ENTE-00055,BNK-ENTE-00055,UTRENTE2026080000055,465900.00,465900.00,465900.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00056,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00056,INV-ENTE-00056,SET-ENTE-00056,BNK-ENTE-00056,UTRENTE2026080000056,474250.00,474250.00,474250.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00057,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00057,INV-ENTE-00057,SET-ENTE-00057,BNK-ENTE-00057,UTRENTE2026080000057,482600.00,482600.00,482600.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00058,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00058,INV-ENTE-00058,SET-ENTE-00058,BNK-ENTE-00058,UTRENTE2026080000058,490950.00,490950.00,490950.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00059,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00059,INV-ENTE-00059,SET-ENTE-00059,BNK-ENTE-00059,UTRENTE2026080000059,499300.00,499300.00,499300.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00060,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00060,INV-ENTE-00060,SET-ENTE-00060,BNK-ENTE-00060,UTRENTE2026080000060,507650.00,507650.00,507650.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00061,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00061,INV-ENTE-00061,SET-ENTE-00061,BNK-ENTE-00061,UTRENTE2026080000061,516000.00,516000.00,516000.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00062,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00062,INV-ENTE-00062,SET-ENTE-00062,BNK-ENTE-00062,UTRENTE2026080000062,524350.00,524350.00,524350.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00063,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00063,INV-ENTE-00063,SET-ENTE-00063,BNK-ENTE-00063,UTRENTE2026080000063,532700.00,532700.00,532700.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00064,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00064,INV-ENTE-00064,SET-ENTE-00064,BNK-ENTE-00064,UTRENTE2026080000064,541050.00,541050.00,541050.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00065,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00065,INV-ENTE-00065,SET-ENTE-00065,BNK-ENTE-00065,UTRENTE2026080000065,549400.00,549400.00,549400.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00066,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00066,INV-ENTE-00066,SET-ENTE-00066,BNK-ENTE-00066,UTRENTE2026080000066,557750.00,557750.00,557750.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00067,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00067,INV-ENTE-00067,SET-ENTE-00067,BNK-ENTE-00067,UTRENTE2026080000067,566100.00,566100.00,566100.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00068,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00068,INV-ENTE-00068,SET-ENTE-00068,BNK-ENTE-00068,UTRENTE2026080000068,574450.00,574450.00,574450.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00069,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00069,INV-ENTE-00069,SET-ENTE-00069,BNK-ENTE-00069,UTRENTE2026080000069,582800.00,582800.00,582800.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00070,enterprise,exact_match,rule,exact_order_id,ORD-ENTE-EX-00070,INV-ENTE-00070,SET-ENTE-00070,BNK-ENTE-00070,UTRENTE2026080000070,591150.00,591150.00,591150.00,"Exact match across order ID, UTR, and amount for Titan Industrial Enterprise Solutions.",,
SCENARIO-ENTE-00071,enterprise,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-FEE-00071,INV-ENTE-00071,SET-ENTE-00071,BNK-ENTE-00071,UTRENTE2026080000071,98500.00,97022.50,97022.50,MDR fee deduction of 1.5% matching schedule.,,
SCENARIO-ENTE-00072,enterprise,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-FEE-00072,INV-ENTE-00072,SET-ENTE-00072,BNK-ENTE-00072,UTRENTE2026080000072,106850.00,105247.25,105247.25,MDR fee deduction of 1.5% matching schedule.,,
SCENARIO-ENTE-00073,enterprise,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-FEE-00073,INV-ENTE-00073,SET-ENTE-00073,BNK-ENTE-00073,UTRENTE2026080000073,115200.00,113472.00,113472.00,MDR fee deduction of 1.5% matching schedule.,,
SCENARIO-ENTE-00074,enterprise,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-FEE-00074,INV-ENTE-00074,SET-ENTE-00074,BNK-ENTE-00074,UTRENTE2026080000074,123550.00,121696.75,121696.75,MDR fee deduction of 1.5% matching schedule.,,
SCENARIO-ENTE-00075,enterprise,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-FEE-00075,INV-ENTE-00075,SET-ENTE-00075,BNK-ENTE-00075,UTRENTE2026080000075,131900.00,129921.50,129921.50,MDR fee deduction of 1.5% matching schedule.,,
SCENARIO-ENTE-00076,enterprise,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-FEE-00076,INV-ENTE-00076,SET-ENTE-00076,BNK-ENTE-00076,UTRENTE2026080000076,140250.00,138146.25,138146.25,MDR fee deduction of 1.5% matching schedule.,,
SCENARIO-ENTE-00077,enterprise,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-FEE-00077,INV-ENTE-00077,SET-ENTE-00077,BNK-ENTE-00077,UTRENTE2026080000077,148600.00,146371.00,146371.00,MDR fee deduction of 1.5% matching schedule.,,
SCENARIO-ENTE-00078,enterprise,fee_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-FEE-00078,INV-ENTE-00078,SET-ENTE-00078,BNK-ENTE-00078,UTRENTE2026080000078,156950.00,154595.75,154595.75,MDR fee deduction of 1.5% matching schedule.,,
SCENARIO-ENTE-00079,enterprise,gst_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-GST-00079,INV-ENTE-00079,SET-ENTE-00079,BNK-ENTE-00079,UTRENTE2026080000079,182000.00,178778.60,178778.60,Combined Fee and 18.0% GST deduction.,,
SCENARIO-ENTE-00080,enterprise,gst_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-GST-00080,INV-ENTE-00080,SET-ENTE-00080,BNK-ENTE-00080,UTRENTE2026080000080,190350.00,186980.80,186980.80,Combined Fee and 18.0% GST deduction.,,
SCENARIO-ENTE-00081,enterprise,gst_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-GST-00081,INV-ENTE-00081,SET-ENTE-00081,BNK-ENTE-00081,UTRENTE2026080000081,198700.00,195183.01,195183.01,Combined Fee and 18.0% GST deduction.,,
SCENARIO-ENTE-00082,enterprise,gst_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-GST-00082,INV-ENTE-00082,SET-ENTE-00082,BNK-ENTE-00082,UTRENTE2026080000082,207050.00,203385.21,203385.21,Combined Fee and 18.0% GST deduction.,,
SCENARIO-ENTE-00083,enterprise,gst_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-GST-00083,INV-ENTE-00083,SET-ENTE-00083,BNK-ENTE-00083,UTRENTE2026080000083,215400.00,211587.42,211587.42,Combined Fee and 18.0% GST deduction.,,
SCENARIO-ENTE-00084,enterprise,tds_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-TDS-00084,INV-ENTE-00084,SET-ENTE-00084,BNK-ENTE-00084,UTRENTE2026080000084,265500.00,258145.65,258145.65,Full statutory deductions including Section 194 TDS (1.0%).,,
SCENARIO-ENTE-00085,enterprise,tds_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-TDS-00085,INV-ENTE-00085,SET-ENTE-00085,BNK-ENTE-00085,UTRENTE2026080000085,273850.00,266264.35,266264.35,Full statutory deductions including Section 194 TDS (1.0%).,,
SCENARIO-ENTE-00086,enterprise,tds_deduction,rule,fee_gst_tds_adjusted_amount,ORD-ENTE-TDS-00086,INV-ENTE-00086,SET-ENTE-00086,BNK-ENTE-00086,UTRENTE2026080000086,282200.00,274383.06,274383.06,Full statutory deductions including Section 194 TDS (1.0%).,,
SCENARIO-ENTE-00087,enterprise,ai_verified_custom_fee,ai,,ORD-ENTE-AI-00087,INV-ENTE-00087,SET-ENTE-00087,BNK-ENTE-00087,UTRENTE2026080000087,349000.00,348970.00,348970.00,Non-standard manual fee override of ₹30.00 verified by Finance Verification Engine.,processing_fee,
SCENARIO-ENTE-00088,enterprise,ai_verified_custom_fee,ai,,ORD-ENTE-AI-00088,INV-ENTE-00088,SET-ENTE-00088,BNK-ENTE-00088,UTRENTE2026080000088,357350.00,357305.00,357305.00,Non-standard manual fee override of ₹45.00 verified by Finance Verification Engine.,processing_fee,
SCENARIO-ENTE-00089,enterprise,ai_verified_custom_fee,ai,,ORD-ENTE-AI-00089,INV-ENTE-00089,SET-ENTE-00089,BNK-ENTE-00089,UTRENTE2026080000089,365700.00,365640.00,365640.00,Non-standard manual fee override of ₹60.00 verified by Finance Verification Engine.,processing_fee,
SCENARIO-ENTE-00090,enterprise,ai_verified_custom_fee,ai,,ORD-ENTE-AI-00090,INV-ENTE-00090,SET-ENTE-00090,BNK-ENTE-00090,UTRENTE2026080000090,374050.00,373975.00,373975.00,Non-standard manual fee override of ₹75.00 verified by Finance Verification Engine.,processing_fee,
SCENARIO-ENTE-00091,enterprise,ai_verified_custom_fee,ai,,ORD-ENTE-AI-00091,INV-ENTE-00091,SET-ENTE-00091,BNK-ENTE-00091,UTRENTE2026080000091,382400.00,382310.00,382310.00,Non-standard manual fee override of ₹90.00 verified by Finance Verification Engine.,processing_fee,
SCENARIO-ENTE-00092,enterprise,ai_verified_custom_fee,ai,,ORD-ENTE-AI-00092,INV-ENTE-00092,SET-ENTE-00092,BNK-ENTE-00092,UTRENTE2026080000092,390750.00,390720.00,390720.00,Non-standard manual fee override of ₹30.00 verified by Finance Verification Engine.,processing_fee,
